Target name,HGNC symbol,Has_Biased_Agonist,Clinical_Potential,Indications,Indication_Needs,Suggested_Program
GPR37,GPR37,Not known,"Yes, GPR37 is implicated in several neurological disorders such as Parkinson's disease, making it a potential target for therapeutic intervention. However, further research is needed to fully understand its role and potential as a drug target.","Parkinson's disease, Autism, Schizophrenia","{""Parkinson's disease"": ""Yes, current treatments for Parkinson's disease only manage symptoms and do not halt disease progression. A drug targeting GPR37 could potentially offer a disease-modifying approach."", ""Autism"": ""Not known"", ""Schizophrenia"": ""Not known""}","{""Parkinson's disease"": ""Development of small molecule agonists or antagonists to modulate GPR37 activity. This could be followed by in vitro and in vivo testing in disease models."", ""Autism"": ""Not known"", ""Schizophrenia"": ""Not known""}"
GPR37L1,GPR37L1,Not known,"Yes, GPR37L1 is expressed in the brain, particularly in the cerebellum, and has been implicated in Parkinson's disease and other neurological disorders. However, further research is needed to fully understand its role and potential as a drug target.","Parkinson's disease, Neurological disorders","{""Parkinson's disease"": ""Yes, there is a need for new therapeutic targets in Parkinson's disease due to the limitations of current treatments, including side effects and decreased effectiveness over time."", ""Neurological disorders"": ""Yes, many neurological disorders lack effective treatments, and GPR37L1, due to its expression in the brain, could potentially be a target for drug development.""}","{""Parkinson's disease"": ""Drug discovery approach could involve the development of small molecule agonists or antagonists of GPR37L1, or the use of gene therapy to modulate its expression."", ""Neurological disorders"": ""Drug discovery approach could involve the development of small molecule agonists or antagonists of GPR37L1, or the use of gene therapy to modulate its expression.""}"
GPR39,GPR39,Not known,"Yes, GPR39 is implicated in various physiological processes including regulation of insulin secretion, gastric emptying, and cell survival. Therefore, it might be a potential target for the treatment of diabetes, obesity, and neurodegenerative diseases.","Diabetes, Obesity, Neurodegenerative diseases","{""Diabetes"": ""Yes, as GPR39 is involved in the regulation of insulin secretion, it could be a potential target for diabetes treatment."", ""Obesity"": ""Yes, GPR39 plays a role in energy homeostasis and could be a potential target for obesity treatment."", ""Neurodegenerative diseases"": ""Yes, GPR39 has been shown to promote cell survival and might be a potential target for neurodegenerative diseases.""}","{""Diabetes"": ""Development of GPR39 agonists to enhance insulin secretion."", ""Obesity"": ""Development of GPR39 modulators to regulate energy homeostasis."", ""Neurodegenerative diseases"": ""Development of GPR39 agonists to promote cell survival.""}"
GPR45,GPR45,Not known,Not known,,{},{}
GPR50,GPR50,Not known,"Yes, GPR50 has been implicated in several physiological processes including thermoregulation, mood disorders, and energy homeostasis. Therefore, it could potentially be targeted for therapeutic interventions in these areas. However, more research is needed to fully understand the role of GPR50 in these processes and to develop effective drugs that target it.","Mood disorders, Thermoregulation disorders, Energy homeostasis disorders","{""Mood disorders"": ""Yes, mood disorders such as depression and bipolar disorder are major health problems with significant unmet needs. GPR50 could potentially be a novel target for these conditions."", ""Thermoregulation disorders"": ""Not known"", ""Energy homeostasis disorders"": ""Yes, disorders of energy homeostasis such as obesity and diabetes are major health problems. GPR50 could potentially be a novel target for these conditions.""}","{""Mood disorders"": ""Drug discovery program focusing on the development of GPR50 agonists or antagonists"", ""Thermoregulation disorders"": ""Not known"", ""Energy homeostasis disorders"": ""Drug discovery program focusing on the development of GPR50 agonists or antagonists""}"
GPR52,GPR52,Not known,"Yes, GPR52 is a potential target for the treatment of psychiatric disorders such as schizophrenia and Parkinson's disease. This is due to its high expression in the striatum, a brain region involved in motor and reward systems.","Schizophrenia, Parkinson's Disease","{""Schizophrenia"": ""Yes, current treatments for schizophrenia have a number of side effects and are not effective for all patients. A drug targeting GPR52 could potentially offer a new treatment option."", ""Parkinson's Disease"": ""Yes, there is a need for new treatments for Parkinson's disease that can slow or stop the progression of the disease. GPR52 is a potential target for such treatments.""}","{""Schizophrenia"": ""Drug discovery program focusing on the development of GPR52 agonists or positive allosteric modulators."", ""Parkinson's Disease"": ""Drug discovery program focusing on the development of GPR52 antagonists or negative allosteric modulators.""}"
GPR61,GPR61,Not known,Not known,,{},{}
GPR62,GPR62,Not known,Not known,,{},{}
GPR63,GPR63,Not known,Not known,,{},{}
GPR65,GPR65,Not known,"Yes, GPR65 is implicated in several diseases including inflammation, cancer, and autoimmune diseases. Its role in regulating immune responses and pH sensing makes it a potential therapeutic target.","Inflammation, Cancer, Autoimmune diseases","{""Inflammation"": ""Yes, GPR65 is involved in the regulation of inflammatory responses. Targeting this receptor could potentially modulate inflammation."", ""Cancer"": ""Yes, GPR65 has been found to be overexpressed in certain cancers. It could potentially be targeted for cancer therapy."", ""Autoimmune diseases"": ""Yes, GPR65 is involved in the regulation of immune responses and its dysregulation is associated with autoimmune diseases. Targeting this receptor could potentially modulate immune responses.""}","{""Inflammation"": ""Drug discovery program focusing on the development of GPR65 antagonists or modulators to control inflammation."", ""Cancer"": ""Drug discovery program focusing on the development of GPR65 antagonists or inhibitors to control cancer cell proliferation."", ""Autoimmune diseases"": ""Drug discovery program focusing on the development of GPR65 modulators to regulate immune responses.""}"
GPR68,GPR68,Not known,"Yes, GPR68 has been implicated in several diseases including cancer, inflammation, and cardiovascular diseases. However, more research is needed to fully understand its role and potential as a drug target.","Cancer, Inflammation, Cardiovascular diseases","{""Cancer"": ""Yes, GPR68 has been linked to ovarian cancer and may play a role in tumor progression. Further research is needed to validate this target for cancer therapy."", ""Inflammation"": ""Yes, GPR68 has been implicated in inflammation and immune response. It may be a potential target for anti-inflammatory drugs."", ""Cardiovascular diseases"": ""Yes, GPR68 has been linked to cardiovascular diseases. Further research is needed to validate this target for cardiovascular therapy.""}","{""Cancer"": ""Drug discovery program focusing on the development of GPR68 antagonists or inhibitors for cancer therapy."", ""Inflammation"": ""Drug discovery program focusing on the development of GPR68 antagonists or inhibitors for anti-inflammatory therapy."", ""Cardiovascular diseases"": ""Drug discovery program focusing on the development of GPR68 antagonists or inhibitors for cardiovascular therapy.""}"
GPR75,GPR75,Not known,"Yes, GPR75 is a G protein-coupled receptor, a class of proteins that are often targeted by drugs. However, specific clinical potential would depend on further research and understanding of this target's role in disease.",Not known,"{""Indication1"": ""Not known""}","{""Indication1"": ""Further research is needed to understand the role of GPR75 in disease and its potential as a drug target.""}"
GPR78,GPR78,Not known,Not known,Not known,"{""Indication1"": ""Not known""}","{""Indication1"": ""Not known""}"
GPR79,GPR79,Not known,"No, as GPR79 is a pseudogene, it does not produce a functional protein and therefore is not a viable drug target.",,{},{}
GPR82,GPR82,Not known,Not known,,{},{}
GPR83,GPR83,Not known,Not known,,{},{}
GPR84,GPR84,Not known,"Yes, GPR84 is considered a promising therapeutic target for inflammatory and immune diseases due to its role in immune cell regulation and its overexpression in several inflammatory conditions.","Inflammatory diseases, Immune disorders","{""Inflammatory diseases"": ""Yes, there is a need for new therapeutic targets in inflammatory diseases due to the complexity and heterogeneity of these conditions."", ""Immune disorders"": ""Yes, there is a need for new therapeutic targets in immune disorders due to the limited efficacy and side effects of current treatments.""}","{""Inflammatory diseases"": ""Drug discovery program focused on identifying and developing GPR84 antagonists or inverse agonists."", ""Immune disorders"": ""Drug discovery program focused on identifying and developing GPR84 modulators.""}"
GPR85,GPR85,Not known,Not known,,{},{}
GPR87,GPR87,Not known,"Yes, GPR87 has been implicated in the progression of several types of cancer, including lung and pancreatic cancer. Therefore, it may serve as a potential therapeutic target for these diseases.","Lung cancer, Pancreatic cancer","{""Lung cancer"": ""Yes, current treatments for lung cancer have limitations and side effects. Targeting GPR87 may provide a novel therapeutic approach."", ""Pancreatic cancer"": ""Yes, pancreatic cancer is one of the most lethal types of cancer with limited treatment options. The role of GPR87 in pancreatic cancer progression suggests it could be a potential target for therapy.""}","{""Lung cancer"": ""Drug discovery program focused on identifying and developing GPR87 antagonists or inhibitors."", ""Pancreatic cancer"": ""Drug discovery program focused on identifying and developing GPR87 antagonists or inhibitors.""}"
GPR88,GPR88,Not known,"Yes, GPR88 has been implicated in several neurological disorders including Parkinson's disease, schizophrenia, and addiction. However, more research is needed to fully understand its role and potential as a therapeutic target.","Parkinson's disease, Schizophrenia, Addiction","{""Parkinson's disease"": ""Yes, there is a need for new therapeutic targets in Parkinson's disease as current treatments are not curative and have significant side effects."", ""Schizophrenia"": ""Yes, current treatments for schizophrenia are often ineffective and have significant side effects, indicating a need for new therapeutic targets."", ""Addiction"": ""Yes, there is a significant need for new therapeutic targets in addiction as current treatments are often ineffective.""}","{""Parkinson's disease"": ""Drug discovery program focused on developing selective GPR88 agonists or antagonists."", ""Schizophrenia"": ""Drug discovery program focused on developing selective GPR88 agonists or antagonists."", ""Addiction"": ""Drug discovery program focused on developing selective GPR88 agonists or antagonists.""}"
GPR101,GPR101,Not known,"Yes, GPR101 is overexpressed in a subset of patients with X-linked acrogigantism (X-LAG), a rare disease characterized by early-onset gigantism. Therefore, it could be a potential therapeutic target for this condition.",X-linked acrogigantism,"{""X-linked acrogigantism"": ""Yes, there is a need for more effective and less invasive treatments for X-LAG, as current therapies often involve surgery and/or radiation, which can have significant side effects.""}","{""X-linked acrogigantism"": ""Drug discovery approach should focus on developing small molecule inhibitors or antibodies that can specifically target and inhibit GPR101. This could potentially reduce the overgrowth symptoms associated with X-LAG.""}"
GPR132,GPR132,Not known,"Yes, GPR132 is expressed in various tissues including immune cells and has been implicated in various diseases such as atherosclerosis, cancer, and inflammatory diseases. However, more research is needed to fully understand its role and potential as a drug target.","Atherosclerosis, Cancer, Inflammatory diseases","{""Atherosclerosis"": ""Yes, GPR132 has been shown to play a role in the development of atherosclerosis, suggesting it could be a potential target for treatment."", ""Cancer"": ""Yes, GPR132 is overexpressed in several types of cancer, including breast and prostate cancer. Its role in cancer progression and potential as a therapeutic target needs further investigation."", ""Inflammatory diseases"": ""Yes, GPR132 is involved in the regulation of inflammatory responses. Its role in inflammatory diseases and potential as a therapeutic target needs further investigation.""}","{""Atherosclerosis"": ""Drug discovery program focusing on the development of GPR132 antagonists or inhibitors."", ""Cancer"": ""Drug discovery program focusing on the development of GPR132 antagonists or inhibitors, as well as investigating its potential as a biomarker for cancer progression."", ""Inflammatory diseases"": ""Drug discovery program focusing on the development of GPR132 antagonists or inhibitors, and investigating its role in the regulation of inflammatory responses.""}"
GPR135,GPR135,Not known,Not known,Not known,"{""Indication1"": ""Not known""}","{""Indication1"": ""Not known""}"
GPR139,GPR139,Not known,Not known,,{},{}
GPR141,GPR141,Not known,Not known,,{},{}
GPR142,GPR142,Not known,"Yes, GPR142 is expressed in pancreatic islets and has been implicated in the regulation of insulin secretion. Therefore, it may have potential as a therapeutic target for the treatment of type 2 diabetes.",Type 2 Diabetes,"{""Type 2 Diabetes"": ""Yes, there is a need for new therapeutic targets in type 2 diabetes due to the increasing prevalence of the disease and the limitations of current treatments.""}","{""Type 2 Diabetes"": ""Drug discovery program focused on identifying and developing small molecule agonists of GPR142.""}"
GPR146,GPR146,Not known,Not known,,{},{}
GPR148,GPR148,Not known,Not known,,{},{}
GPR149,GPR149,Not known,Not known,,{},{}
GPR150,GPR150,Not known,Not known,,{},{}
GPR151,GPR151,Not known,Not known,,{},{}
GPR152,GPR152,Not known,Not known,,{},{}
GPR153,GPR153,Not known,Not known,,{},{}
GPR160,GPR160,Not known,Not known,,{},{}
GPR161,GPR161,Not known,Not known,Not known,"{""Indication1"": ""Not known""}","{""Indication1"": ""Not known""}"
GPR162,GPR162,Not known,Not known,,{},{}
GPR171,GPR171,Not known,Not known,,{},{}
GPR173,GPR173,Not known,Not known,,{},{}
GPR174,GPR174,Not known,Not known,,{},{}
GPR176,GPR176,Not known,Not known,,{},{}
GPR183,GPR183,Not known,"Yes, GPR183 has been implicated in a number of diseases including autoimmune diseases, cancer, and inflammation, suggesting it could be a potential therapeutic target. However, more research is needed to fully understand its role and potential as a drug target.","Autoimmune diseases, Cancer, Inflammation","{""Autoimmune diseases"": ""Yes, GPR183 is involved in the migration of immune cells, which plays a key role in autoimmune diseases. Therefore, targeting GPR183 could potentially help in the treatment of these diseases."", ""Cancer"": ""Yes, GPR183 has been found to be overexpressed in certain types of cancer, suggesting it could be a potential target for cancer therapy."", ""Inflammation"": ""Yes, GPR183 is involved in the immune response and inflammation, suggesting it could be a potential target for anti-inflammatory drugs.""}","{""Autoimmune diseases"": ""Develop selective GPR183 antagonists or inverse agonists to modulate immune cell migration."", ""Cancer"": ""Develop selective GPR183 antagonists or inverse agonists to inhibit GPR183 overexpression in cancer cells."", ""Inflammation"": ""Develop selective GPR183 antagonists or inverse agonists to modulate immune response and inflammation.""}"
LGR4,LGR4,Not known,"Yes, LGR4 has been implicated in various physiological processes including development, metabolism, and immunity. It is also involved in several diseases such as cancer, osteoporosis, and autoimmune diseases. Therefore, it may serve as a potential therapeutic target for these conditions.","Cancer, Osteoporosis, Autoimmune diseases","{""Cancer"": ""Yes, LGR4 is overexpressed in several types of cancer and its inhibition could potentially limit cancer progression."", ""Osteoporosis"": ""Yes, LGR4 is involved in bone formation and its modulation could potentially improve bone density in osteoporosis patients."", ""Autoimmune diseases"": ""Not known""}","{""Cancer"": ""Development of small molecule inhibitors or antibodies against LGR4 to limit its activity."", ""Osteoporosis"": ""Development of agonists to stimulate LGR4 activity and promote bone formation."", ""Autoimmune diseases"": ""Further research is needed to understand the role of LGR4 in autoimmune diseases and to develop potential therapeutic strategies.""}"
LGR5,LGR5,Not known,"Yes, LGR5 is a promising target for cancer therapy, particularly for colorectal cancer, as it is a marker of cancer stem cells. It is also implicated in Wnt signaling pathway which is often dysregulated in various cancers.","Colorectal cancer, Gastric cancer, Liver cancer","{""Colorectal cancer"": ""Yes, there is a need for new treatments as current therapies often have severe side effects and resistance develops over time."", ""Gastric cancer"": ""Yes, current treatments are often ineffective and have severe side effects."", ""Liver cancer"": ""Yes, liver cancer is often diagnosed at a late stage and current treatments are not very effective.""}","{""Colorectal cancer"": ""Develop a selective LGR5 antagonist or antibody-drug conjugate to target cancer stem cells."", ""Gastric cancer"": ""Investigate the role of LGR5 in gastric cancer and develop a targeted therapy."", ""Liver cancer"": ""Develop a selective LGR5 antagonist or antibody-drug conjugate to target cancer stem cells.""}"
LGR6,LGR6,Not known,"Yes, LGR6 has been implicated in several diseases including cancer and skin disorders. It is a marker of stem cells in the skin and hair follicle, and its dysregulation has been associated with tumorigenesis. However, more research is needed to fully understand its role and potential as a therapeutic target.","Cancer, Skin disorders","{""Cancer"": ""Yes, given the association of LGR6 with tumorigenesis, there is a need for targeted therapies that can modulate its activity."", ""Skin disorders"": ""Yes, as LGR6 is a marker of stem cells in the skin and hair follicle, it could potentially be targeted for the treatment of skin disorders.""}","{""Cancer"": ""A drug discovery program could focus on identifying and developing selective agonists or antagonists of LGR6. These could potentially be used to modulate the activity of LGR6 in cancer cells, with the aim of inhibiting tumor growth and progression."", ""Skin disorders"": ""A drug discovery program could focus on identifying and developing compounds that can modulate the activity of LGR6 in skin stem cells. This could potentially lead to new treatments for skin disorders.""}"
MAS1,MAS1,Not known,"Yes, MAS1 is a receptor for angiotensin 1-7, a peptide hormone with vasodilatory and anti-proliferative effects. It has been implicated in cardiovascular diseases, kidney diseases, and cancer, suggesting potential clinical applications.","Cardiovascular diseases, Kidney diseases, Cancer","{""Cardiovascular diseases"": ""Yes, as angiotensin 1-7 has been shown to have beneficial effects on cardiovascular health, drugs targeting MAS1 could potentially be used to treat various cardiovascular diseases."", ""Kidney diseases"": ""Yes, angiotensin 1-7 and its receptor MAS1 have been implicated in kidney function and disease, suggesting potential therapeutic applications."", ""Cancer"": ""Potentially, as MAS1 has been identified as a proto-oncogene. However, more research is needed to fully understand its role in cancer.""}","{""Cardiovascular diseases"": ""Drug discovery program focusing on developing agonists or positive allosteric modulators of MAS1."", ""Kidney diseases"": ""Drug discovery program focusing on developing agonists or positive allosteric modulators of MAS1."", ""Cancer"": ""Research program to further investigate the role of MAS1 in cancer and potential therapeutic strategies.""}"
MAS1L,MAS1L,Not known,Not known,,{},{}
MRGPRD,MRGPRD,Not known,"Yes, MRGPRD is expressed in a subset of sensory neurons and is involved in itch sensation. Therefore, it might be a potential target for treating chronic itch conditions.","Chronic itch, Pain, Inflammatory diseases","{""Chronic itch"": ""Yes, current treatments for chronic itch are limited and often ineffective. Targeting MRGPRD could provide a new therapeutic approach."", ""Pain"": ""Not known"", ""Inflammatory diseases"": ""Not known""}","{""Chronic itch"": ""Drug discovery program focusing on identifying and developing MRGPRD antagonists or modulators"", ""Pain"": ""Further research needed to determine the role of MRGPRD in pain and potential therapeutic strategies"", ""Inflammatory diseases"": ""Further research needed to determine the role of MRGPRD in inflammatory diseases and potential therapeutic strategies""}"
MRGPRE,MRGPRE,Not known,Not known,,{},{}
MRGPRF,MRGPRF,Not known,Not known,,{},{}
MRGPRG,MRGPRG,Not known,Not known,,{},{}
MRGPRX1,MRGPRX1,Not known,"Yes, MRGPRX1 has been implicated in a variety of physiological and pathological processes, including itch sensation, pain, and mast cell-mediated immune responses. Therefore, it could be a potential target for the development of novel therapeutic strategies for treating related conditions.","Chronic itch, Pain, Mast cell disorders","{""Chronic itch"": ""Yes, there is a need for more effective and safer treatments for chronic itch, which is a common symptom of various skin diseases and systemic disorders."", ""Pain"": ""Yes, there is a need for novel pain therapeutics that are effective and have fewer side effects than current treatments."", ""Mast cell disorders"": ""Yes, there is a need for new treatments for mast cell disorders, which can cause a wide range of symptoms and are often difficult to diagnose and treat.""}","{""Chronic itch"": ""Development of MRGPRX1 antagonists or neutralizing antibodies to block the receptor's activity."", ""Pain"": ""Development of MRGPRX1 antagonists or modulators to regulate the receptor's activity."", ""Mast cell disorders"": ""Development of MRGPRX1 antagonists or inhibitors to prevent the receptor's activation.""}"
MRGPRX2,MRGPRX2,Not known,"Yes, MRGPRX2 is a receptor that is expressed on mast cells and is involved in the degranulation process. Therefore, it has potential as a therapeutic target for diseases involving mast cell activation, such as allergies and asthma.","Allergies, Asthma, Chronic Urticaria, Neuropathic Pain","{""Allergies"": ""Yes, there is a need for new therapeutic targets in allergies as current treatments may not be effective for all patients and can have side effects."", ""Asthma"": ""Yes, there is a need for new therapeutic targets in asthma as current treatments may not be effective for all patients and can have side effects."", ""Chronic Urticaria"": ""Yes, there is a need for new therapeutic targets in chronic urticaria as current treatments may not be effective for all patients and can have side effects."", ""Neuropathic Pain"": ""Yes, there is a need for new therapeutic targets in neuropathic pain as current treatments may not be effective for all patients and can have side effects.""}","{""Allergies"": ""Drug discovery approach targeting MRGPRX2 to inhibit mast cell degranulation."", ""Asthma"": ""Drug discovery approach targeting MRGPRX2 to inhibit mast cell degranulation."", ""Chronic Urticaria"": ""Drug discovery approach targeting MRGPRX2 to inhibit mast cell degranulation."", ""Neuropathic Pain"": ""Drug discovery approach targeting MRGPRX2 to inhibit mast cell degranulation.""}"
MRGPRX3,MRGPRX3,Not known,Not known,,{},{}
MRGPRX4,MRGPRX4,Not known,Not known,,{},{}
P2RY8,P2RY8,Not known,Not known,,{},{}
P2RY10,P2RY10,Not known - There is currently no known biased agonist for P2RY10. Further research is required to identify and characterize potential biased agonists for this target.,Not known - The clinical potential of P2RY10 is currently unknown due to limited research on this target. Further studies are required to understand its role in disease and potential as a therapeutic target.,Not known - Further research is required to identify potential indications for P2RY10.,"{""Indication1"": ""Not known - Further research is required to understand the role of P2RY10 in disease and its potential as a therapeutic target.""}","{""Indication1"": ""Not known - A drug discovery approach for P2RY10 would depend on further understanding of its role in disease and potential as a therapeutic target.""}"
TAAR2,TAAR2,Not known,Not known,,{},{}
TAAR3,TAAR3P,Not known,Not known,,{},{}
TAAR4P ,TAAR4P,Not known,"No, TAAR4P is a pseudogene. Pseudogenes are sequences of DNA that are similar to normal genes, but they have been altered so they no longer produce functional proteins. Therefore, they are not typically considered as drug targets.",Not applicable,"{""Not applicable"": ""Not applicable""}","{""Not applicable"": ""Not applicable""}"
TAAR5,TAAR5,Not known,"Yes, TAAR5 has been implicated in neuropsychiatric disorders, including schizophrenia and anxiety disorders. However, more research is needed to fully understand its role and potential as a therapeutic target.","Schizophrenia, Anxiety disorders","{""Schizophrenia"": ""Yes, current treatments for schizophrenia have significant side effects and are not effective for all patients. A new target like TAAR5 could potentially provide a new therapeutic approach."", ""Anxiety disorders"": ""Yes, while there are many treatments available for anxiety disorders, they do not work for everyone and can have significant side effects. New targets like TAAR5 could potentially offer new treatment options.""}","{""Schizophrenia"": ""Drug discovery program focused on identifying and developing TAAR5 agonists or antagonists, depending on the desired therapeutic effect."", ""Anxiety disorders"": ""Drug discovery program focused on identifying and developing TAAR5 agonists or antagonists, depending on the desired therapeutic effect.""}"
TAAR6,TAAR6,Not known,"Yes, TAAR6 has been associated with neuropsychiatric disorders, particularly schizophrenia. However, more research is needed to fully understand its role and therapeutic potential.","Schizophrenia, Neuropsychiatric disorders","{""Schizophrenia"": ""Yes, current treatments for schizophrenia are often associated with severe side effects and do not work for all patients. A drug targeting TAAR6 could potentially offer a new treatment option."", ""Neuropsychiatric disorders"": ""Yes, many neuropsychiatric disorders are poorly understood and lack effective treatments. Further research into TAAR6 could potentially lead to new therapeutic strategies.""}","{""Schizophrenia"": ""Drug discovery approach should focus on identifying and developing selective TAAR6 agonists or antagonists. Preclinical studies should investigate the effects of these compounds on schizophrenia-related behaviors in animal models."", ""Neuropsychiatric disorders"": ""Drug discovery approach should include high-throughput screening to identify potential TAAR6 modulators, followed by in vitro and in vivo studies to evaluate their therapeutic potential.""}"
TAAR8,TAAR8,Not known,Not known,,{},{}
TAAR9,TAAR9,Not known,Not known,,{},{}
